iter	RMSE
0	0.4404190509
1	0.4232161539
2	0.4069868111
3	0.3896365891
4	0.3751570762
5	0.3717213646
6	0.3583340349
7	0.3458199455
8	0.3329442088
9	0.3220193333
10	0.3106478571
11	0.3007448612
12	0.2894995909
13	0.2796116668
14	0.2719688897
15	0.2634939562
16	0.2563829151
17	0.2492804284
18	0.2422919457
19	0.2370378458
20	0.2332982056
21	0.2274711942
22	0.2240422904
23	0.2172298824
24	0.2116172579
25	0.2065764537
26	0.2014852666
27	0.195847309
28	0.1916328912
29	0.1872213426
30	0.1839893158
31	0.1820341544
32	0.1777545412
33	0.1749464657
34	0.1716851324
35	0.1685857837
36	0.1650623606
37	0.1627509337
38	0.1597168434
39	0.1585535101
40	0.1558093241
41	0.1543390199
42	0.1521890587
43	0.1498446911
44	0.1484253956
45	0.1465285409
46	0.1446048906
47	0.1436328112
48	0.1418397929
49	0.1401803268
50	0.1384978218
51	0.1368543106
52	0.1361204561
53	0.1352893166
54	0.1338681491
55	0.1333060251
56	0.1318958924
57	0.1309697532
58	0.1307879282
59	0.1296461304
60	0.1284158266
61	0.1275835719
62	0.1267790166
63	0.1263500307
64	0.1248445798
65	0.1236985659
66	0.1229332175
67	0.121962015
68	0.1209348037
69	0.1202751148
70	0.1199587427
71	0.1194732546
72	0.1187074324
73	0.1179773507
74	0.1174440135
75	0.1170777066
76	0.1168633652
77	0.1164689744
78	0.1157424326
79	0.1154708182
80	0.1149151332
81	0.1145690344
82	0.114323625
83	0.1141862897
84	0.1135907862
85	0.1130292975
86	0.112537328
87	0.1124160933
88	0.1119209642
89	0.1115400704
90	0.111068328
91	0.1107857913
92	0.1105615497
93	0.1104619629
94	0.1102035903
95	0.1098584537
