iter	Passed	Remaining
0	5105	1388629
1	9531	1291546
2	14375	1293750
3	19167	1288994
4	22761	1220006
5	22772	1013395
6	23052	875993
7	26845	889265
8	30999	909315
9	32065	843310
10	37018	881720
11	37050	805850
12	40160	803211
13	42628	788627
14	42851	737045
15	45447	729999
16	48179	725526
17	51514	729789
18	51569	689403
19	51602	652768
20	55834	670012
21	60157	686339
22	60172	654048
23	64815	672459
24	67457	669173
25	70337	668206
26	70455	641928
27	73705	644922
28	74557	627315
29	74918	606843
30	75150	586656
31	75250	566729
32	79657	579327
33	83589	587583
34	86573	588700
35	90510	595862
36	92965	592967
37	95410	590037
38	98118	588713
39	98126	571584
40	100566	569056
41	104133	572731
42	107369	574300
43	109787	571391
44	109849	556568
45	112380	554572
46	114770	551876
47	115319	540557
48	117793	538483
49	122522	546451
50	125244	545179
51	127601	542304
52	130052	539839
53	132221	536233
54	134599	533502
55	135912	526661
56	140017	530591
57	142465	528104
58	142475	516775
59	144988	514710
60	147408	512304
61	149903	510155
62	152411	508039
63	152446	497833
64	156606	501139
65	159751	501039
66	162359	499196
67	164703	496533
68	167152	494190
69	168278	488007
70	168334	478923
71	170649	476395
72	173817	476211
73	177399	477060
74	179842	474785
75	180434	467706
76	182924	465625
77	186839	467098
78	191847	471119
79	191962	463109
80	196924	466784
81	201869	470208
82	206951	473743
83	206983	465713
84	211822	468500
85	215767	469169
86	220279	470941
87	220313	463159
88	225248	465682
89	230088	467845
90	234528	469057
91	238705	469627
92	238746	462090
93	238860	454851
94	242341	454071
95	246435	454365
